pno1,pno2,rank1,rank2
7477357,6862942,10,12
3954614,4453416,9,11
5053081,7082582,4,11
4489964,5271202,6,5
6238159,5526041,3,8
5371090,8382912,13,5
8153795,7706990,13,11
7261372,4254751,3,11
8454371,6399455,4,5
8454371,6399455,9,6
8454371,6399455,6,11
8755990,8658956,6,2
8638558,6866188,4,4
5148673,7353795,9,1
4939505,8410518,9,4
7148897,8285071,6,12
7562475,8579973,7,7
7929064,6891836,10,3
5146082,8483460,13,5
4297256,4172781,4,5
5072332,8015909,8,12
8011045,8639647,7,10
4754885,6369017,9,12
7104576,6595471,8,5
7104576,6595471,9,9
7936539,6083607,6,6
8210351,4045064,9,13
8661143,8667137,5,2
8661143,8667137,2,6
7482743,6375448,9,6
7602021,7993394,4,8
4013318,4249182,10,6
7499922,5019697,6,3
8532492,6181843,8,2
5048649,6336251,6,6
7565304,4564714,3,8
8683207,6495823,11,11
7620494,7344472,13,6
6665384,6323690,2,4
4938344,5479036,5,3
7438107,4717518,2,3
5153727,4523155,1,5
5153727,4523155,11,9
8224221,7857552,1,11
6169722,8073102,11,9
8050505,8737875,1,8
7410732,3967002,7,2
7490476,4465960,5,4
7624018,8158761,8,9
8294625,7121417,5,5
6645145,3999013,6,5
6601690,6316769,9,11
7300393,6220290,1,2
7813533,8219581,5,4
7931736,5635581,6,7
6282199,8489528,11,12
3961739,5576073,5,5
4331501,7207508,4,3
4331501,7207508,8,6
5064231,7685093,5,8
7752221,8150435,12,10
4451013,8532168,12,3
4451013,8532168,11,9
5191573,6924378,6,1
6085133,7205588,1,13
7049568,3945700,12,8
6300961,7227777,4,4
8694207,4449805,12,3
6346158,6360632,7,9
6668622,5155243,13,11
6296416,7934778,8,2
6563715,5199661,7,4
4111897,4887525,8,8
4669285,7039303,3,7
6662361,6481625,8,13
7395674,7454283,5,1
7395674,7454283,10,5
5257785,7018693,10,4
5257785,7018693,8,8
5481227,4752145,4,11
7049832,8422482,12,11
8713161,8284460,10,8
7012393,4218912,9,8
5069654,4071217,7,12
7425103,8058860,6,9
6855220,8104826,9,13
8620073,7832951,6,1
7189168,4449038,1,3
4389860,4164143,12,11
4065884,7694699,7,9
5573137,7538100,6,7
8059016,5585928,2,11
8270731,4878663,4,6
6931849,6416102,8,2
5434384,8633485,11,8
4071251,6338553,2,3
4071251,6338553,9,8
4330779,7457423,6,6
7312601,5648605,11,9
7787631,4334225,9,10
8063435,6416833,2,13
7078763,8325506,1,9
5495168,5170375,13,5
8664139,4887125,5,4
8264109,5338022,7,5
4844444,7583476,3,12
8330626,7608470,8,4
6367642,7166185,7,7
4289447,8268400,7,3
4213999,7851397,11,12
6663910,4802574,5,7
6337835,4832048,3,3
4674967,6547208,5,5
4422486,5050411,7,5
4422486,5050411,12,10
8538077,7675657,1,11
4633387,7019794,10,12
7319021,6080204,5,11
6542428,4031496,13,5
7365314,7614426,12,6
5278057,4862913,8,13
6882713,6985495,8,3
6534240,5634183,3,3
6433815,7236704,7,4
7974095,8617095,12,8
6340079,7251778,10,4
4365680,7215075,6,7
8460773,7905658,2,8
4860251,4203149,13,1
6228580,7666989,3,5
8032508,4519041,8,5
5331645,3997079,13,13
8086148,4560845,13,10
7074460,6595902,3,11
8223930,4694929,8,8
7897966,6894903,3,5
5326376,6459016,13,4
6366186,7390321,9,11
7458449,4021242,12,7
3980829,7033452,13,11
5077781,4221151,13,12
5377974,7557506,11,5
8207786,7230471,1,3
8207786,7230471,13,6
4556785,8075081,12,11
7388392,5290735,1,3
4823572,5184835,11,9
5453372,4540764,8,10
4453133,5381513,13,4
8653508,4113688,3,3
6975439,7679041,1,6
4569890,5656748,9,8
4569890,5656748,11,9
8223761,7606474,13,1
7561264,8491086,3,10
6307343,7444109,5,12
4772875,4607229,10,6
4772875,4607229,9,10
6341633,8303870,6,1
8494323,8692724,3,5
4926617,8563441,5,5
4380429,4323017,1,4
4380429,4323017,6,5
6311498,4423488,8,8
4098705,4081526,3,1
7585823,4746826,6,4
5193248,4770219,5,4
6604927,4222976,10,8
6604927,4222976,1,9
6604927,4222976,9,13
8098394,8707058,3,3
8098394,8707058,5,7
4211890,5121324,7,12
7113594,7433340,5,10
8694599,6404754,8,4
8493100,6446153,9,8
7176518,3996958,6,7
4337770,4502025,13,13
5360119,6222505,13,8
8235368,8097253,5,9
6981517,8304668,9,9
6894144,6245258,8,4
4007951,6463686,13,6
4007951,6463686,5,12
4052602,8515240,8,8
7724619,8189505,12,7
7724619,8189505,7,8
7407917,7423532,9,13
8686924,6710042,11,9
4271387,5253564,9,4
4985757,6515526,2,1
4985757,6515526,1,3
7988072,5582015,6,8
8359866,7148775,3,11
8689449,7582848,3,2
8628318,5581257,1,10
5647436,8748148,9,10
4668030,5505365,10,10
5620393,6330718,10,12
7944786,6067285,2,4
7944786,6067285,1,6
7944786,6067285,6,7
8473245,8414462,7,12
6981017,8627032,3,6
6717173,6928751,5,9
7625036,4828372,8,4
7138606,8000905,1,4
4257758,4262843,2,10
7813021,4837179,3,13
8092115,7325930,5,9
6598389,5500954,1,1
5119914,7254088,8,6
8690266,7457310,6,11
8071480,7981191,7,7
8593618,7610904,10,12
7595018,7490999,4,4
7018095,5399864,13,5
4373273,7957958,11,10
8128986,6355819,2,5
4492484,6367348,4,1
4065286,3939371,9,4
6138764,5499901,2,10
4204200,8611986,7,5
5215255,6095801,8,11
8063927,7344829,8,13
7511527,7920305,7,5
5033373,6567404,7,12
7325698,7934566,8,9
5306177,8342002,12,13
8497915,4457421,5,10
5260403,7006174,3,4
6072894,7437577,13,11
5358806,8662540,13,13
6899372,7084248,7,7
7750885,5655723,1,4
4279110,5365918,12,11
5049526,4082339,11,9
8691262,8533563,4,9
7279319,4884404,4,6
6594012,8311212,5,12
7419096,6230021,8,8
5568353,4236165,5,8
