pno1,pno2,rank1,rank2
8556263,6490277,1,4
8533628,6873343,6,4
8533628,6873343,9,5
6552958,5455803,1,1
6552958,5455803,3,3
6552958,5455803,4,12
6552958,5455803,7,13
4704197,4302676,1,1
4704197,4302676,3,5
4704197,4302676,6,8
8681321,7684592,2,5
8681321,7684592,4,12
8734822,5047031,6,1
8734822,5047031,8,2
8651518,6450528,1,2
8651518,6450528,2,6
8651518,6450528,11,10
8651518,6450528,4,12
8655045,4685141,12,7
8480867,5565085,2,3
8480867,5565085,3,8
7445817,5023056,1,2
5350408,4869251,1,1
5350408,4869251,3,3
7917187,6171277,1,2
7917187,6171277,6,5
7917187,6171277,4,6
8176334,7076067,1,6
4746106,4491207,2,2
7113571,6256747,4,5
7113571,6256747,2,10
7114991,5145410,6,1
7114991,5145410,3,3
7114991,5145410,2,4
7114991,5145410,1,7
7114991,5145410,9,12
6383196,5147371,13,2
6383196,5147371,10,5
5573069,4002205,1,1
7105486,6093391,8,3
8045845,6467080,2,2
8736623,6978457,5,3
8647269,5507288,3,4
5413717,5049256,6,11
7881576,4354731,4,7
7881576,4354731,7,9
6889829,4192035,2,7
6889829,4192035,1,12
8231309,5439308,11,7
7346677,6470357,5,2
7346677,6470357,6,4
7346677,6470357,7,6
6439488,4313578,1,1
6439488,4313578,2,2
8116743,6285745,2,1
6646926,5297096,1,1
6646926,5297096,10,4
6646926,5297096,3,5
6646926,5297096,2,7
6646926,5297096,8,9
6646926,5297096,5,13
6900804,6339433,2,1
6900804,6339433,1,7
4899762,4373519,1,1
7085170,6251731,13,13
7047420,6577734,2,1
7464944,4942778,11,6
5377667,4385626,1,1
5581576,5408686,1,2
5581576,5408686,6,4
5581576,5408686,11,5
5581576,5408686,3,7
5581576,5408686,12,10
6936075,6465078,5,1
8728110,6156254,11,1
8728110,6156254,9,2
8728110,6156254,2,6
8728110,6156254,1,12
8142266,4136704,3,2
8142266,4136704,1,6
8142266,4136704,2,7
8142266,4136704,12,10
8523898,6352536,13,3
8523898,6352536,9,4
8523898,6352536,2,6
8523898,6352536,5,8
6169747,5565924,7,8
6456716,4803725,8,1
6456716,4803725,10,6
8591575,5607464,4,4
5194004,4784605,2,1
5194004,4784605,9,9
7917537,6430556,11,8
6873539,5528062,8,4
6873539,5528062,7,13
7813918,5267156,11,3
7937148,5095903,8,2
7937148,5095903,1,13
7253566,4342947,3,1
7253566,4342947,1,4
8286072,6349315,9,2
8286072,6349315,1,3
8286072,6349315,11,4
8286072,6349315,8,9
8286072,6349315,3,10
8597309,5626588,1,3
8597309,5626588,11,10
7748229,6272009,1,1
7685013,6460141,8,3
7685013,6460141,11,9
8029316,7147509,1,1
8029316,7147509,11,2
8029316,7147509,5,4
8029316,7147509,8,5
4404692,4275717,8,1
4404692,4275717,6,5
7904622,7545784,9,1
7904622,7545784,2,4
7131700,5102196,4,1
7437869,5506043,3,2
7437869,5506043,7,6
7437869,5506043,1,9
5265579,4685467,1,1
5265579,4685467,4,3
5265579,4685467,6,9
5265579,4685467,3,10
7393875,5385915,4,5
7393875,5385915,1,11
6539684,5072566,8,1
6539684,5072566,9,11
8360778,6354839,1,1
8709258,7998225,7,11
5112708,4248518,1,4
5112708,4248518,5,10
5350265,4069635,1,3
5350265,4069635,3,6
6530903,5092853,2,2
6530903,5092853,9,8
7954449,4148301,6,2
6411518,6278181,2,4
5625986,5423154,11,7
5625986,5423154,5,12
8755763,8117193,4,7
5204968,4682158,3,1
5204968,4682158,8,6
5450513,5011251,3,1
5450513,5011251,1,11
8328658,6913546,2,1
8328658,6913546,5,3
8328658,6913546,4,4
5603389,4103642,2,5
4188863,4007675,1,1
4188863,4007675,10,4
8071906,5591312,3,4
5313047,4871309,2,3
5313047,4871309,1,6
5313047,4871309,4,9
5313047,4871309,5,11
6942643,4832695,3,1
6942643,4832695,4,3
