parent_pno,child_pno,parent_term_rank,child_term_rank,slope CTR-CTR
6185468,8498752,1,3,-2
6185468,8498752,4,11,-7
6185468,8498752,10,4,6
5133553,8337319,1,7,-6
5133553,8337319,2,1,1
5133553,8337319,3,8,-5
5133553,8337319,4,4,0
5133553,8337319,5,10,-5
5133553,8337319,6,2,4
5133553,8337319,8,6,2
5567627,6294392,2,6,-4
5567627,6294392,3,4,-1
5567627,6294392,7,12,-5
5412466,8709825,5,5,0
5412466,8709825,6,3,3
5412466,8709825,9,6,3
4819038,7355418,4,4,0
6407021,7767253,10,2,8
6407021,7767253,11,5,6
7200108,7620059,2,12,-10
6196617,7080868,3,5,-2
6196617,7080868,5,9,-4
6196617,7080868,8,10,-2
6196617,7080868,11,7,4
7476063,8475944,8,7,1
7476063,8475944,12,4,8
7010440,7540657,5,12,-7
7010440,7540657,6,8,-2
7010440,7540657,7,4,3
4811516,6460292,1,3,-2
4811516,6460292,3,2,1
4811516,6460292,5,6,-1
4793409,5095992,2,2,0
4707681,5099237,7,10,-3
4348186,7724278,9,2,7
4599472,4943668,1,8,-7
4794629,5351280,12,11,1
4780139,5522914,1,2,-1
4780139,5522914,4,3,1
4780139,5522914,6,11,-5
6436349,8221682,1,12,-11
6436349,8221682,4,6,-2
6436349,8221682,5,10,-5
6436349,8221682,13,4,9
4114913,7318591,2,12,-10
4114913,7318591,4,5,-1
4114913,7318591,6,9,-3
4114913,7318591,9,6,3
4913525,5351262,1,2,-1
4913525,5351262,2,3,-1
4913525,5351262,5,7,-2
4913525,5351262,10,9,1
5245534,5583487,7,13,-6
5245534,5583487,9,5,4
5016978,6633212,5,3,2
5016978,6633212,8,7,1
4872853,7214069,8,12,-4
4872853,7214069,10,2,8
7148846,7936318,1,1,0
7148846,7936318,5,8,-3
7148846,7936318,10,4,6
7148846,7936318,12,12,0
7148846,7936318,13,5,8
7382932,8428375,1,3,-2
7382932,8428375,7,12,-5
7382932,8428375,9,13,-4
5655132,7073039,1,3,-2
5655132,7073039,2,1,1
5655132,7073039,5,2,3
6505195,8082248,2,1,1
6505195,8082248,3,2,1
6182038,7555431,3,1,2
6148330,6453339,5,1,4
6148330,6453339,10,11,-1
5077069,7048875,8,4,4
5077069,7048875,9,13,-4
4771164,5226596,1,1,0
4771164,5226596,2,2,0
4771164,5226596,4,6,-2
4771164,5226596,9,10,-1
