pno1,pno2,rank1,rank2
8220580,7938463,2,8
8220580,7938463,7,12
7556186,4198982,9,2
7556186,4198982,2,3
7556186,4198982,3,12
7036439,6837171,7,1
7036439,6837171,4,3
7841998,4497315,13,12
7261551,4092391,2,13
8685874,6673449,6,5
4817105,4534033,6,8
4817105,4534033,3,10
4817105,4534033,1,11
5180783,4678834,2,3
5180783,4678834,1,5
5180783,4678834,8,6
5180783,4678834,10,7
8722461,6326678,3,2
8722461,6326678,11,11
8152559,4933512,6,1
8025366,5646658,5,12
5310906,5122605,1,2
5310906,5122605,8,3
5310906,5122605,10,8
5310906,5122605,13,10
5310906,5122605,6,11
6270787,4340054,1,1
4955889,4575373,2,1
6497068,4980987,12,2
8044841,7394046,2,7
6615456,4987653,5,12
7321607,4881231,2,2
7862520,6872200,4,8
5268525,4634800,2,2
5342206,4609243,7,3
5342206,4609243,11,4
7664186,7120213,8,11
7726003,6338758,5,7
5021919,4438368,13,9
6468277,5470334,3,2
6468277,5470334,4,3
6468277,5470334,8,5
6468277,5470334,9,6
8565550,6072903,3,8
8419756,6633234,8,3
8419756,6633234,6,6
8419756,6633234,11,8
7214996,6519044,6,2
7214996,6519044,5,10
5253981,4496245,6,1
5632242,5143035,2,3
5632242,5143035,1,11
5632242,5143035,12,12
5242393,5062836,9,1
5242393,5062836,12,6
7827754,5348778,6,10
7944358,7688212,5,3
7944358,7688212,3,7
7058067,4530051,6,12
5202407,4634757,2,2
5202407,4634757,9,9
5202407,4634757,3,10
7039551,5642467,1,2
7018362,4863432,1,1
7018362,4863432,10,7
7662151,6925318,2,3
7662151,6925318,3,11
5278079,4855240,8,3
5278079,4855240,9,8
8468700,4821417,3,1
8468700,4821417,2,4
8743082,7197168,4,1
8743082,7197168,2,9
8636189,6478804,8,2
7694024,7174393,3,5
7694024,7174393,12,9
7694024,7174393,13,10
7334484,4977480,7,3
7334484,4977480,12,13
8437119,8163994,3,8
8437119,8163994,1,9
8437119,8163994,4,12
5171904,4456779,7,4
4349073,4193635,12,12
7675609,4109390,12,9
4419977,4249499,7,2
4419977,4249499,2,7
4419977,4249499,1,8
4419977,4249499,11,11
4419977,4249499,5,13
6553343,5278943,1,1
7721929,6216936,1,2
7721929,6216936,11,3
7721929,6216936,8,7
