pno1,pno2,rank1,rank2
8477857,4489618,3,5
8036352,8498017,3,6
4215962,4395802,9,2
8561785,7405722,4,10
8265420,7720263,3,2
5352979,8077164,4,2
8514913,5135150,11,10
5268602,6862871,4,2
8377507,4965128,1,2
7201785,8418204,13,6
8083354,4947234,10,7
6856522,7299718,7,5
5266318,4707534,13,9
4952904,4987318,12,11
8605370,5216479,8,10
7544918,7563339,4,2
5574301,7200126,6,10
5354619,6086707,5,1
5354619,6086707,1,10
8269373,6510743,5,13
4489848,7894004,4,3
4936412,7318506,7,4
4936412,7318506,6,5
5254178,7276989,12,9
6582920,4268148,10,6
4385286,8667317,4,9
4988865,7102217,1,2
5625880,8684192,11,12
5431139,7938111,11,6
3959357,7617805,5,1
8599960,8467685,8,11
7433998,7303959,3,7
7433998,7303959,4,11
6861748,8441710,2,6
6861748,8441710,6,8
6861748,8441710,7,9
4461924,7748072,9,6
7897524,7764410,5,11
7718045,6520474,3,4
7718045,6520474,7,6
7718045,6520474,13,9
8203842,6533202,7,13
7958834,4122789,1,3
4315063,8544517,1,3
7769574,4455007,12,4
8641998,8098110,9,12
6716629,5179092,8,7
6222074,4355030,8,8
6166981,7706493,4,11
8680413,7684094,13,3
8731862,4049271,1,6
6917525,6962342,5,7
4758112,4891907,3,2
4758112,4891907,4,4
7442290,6335464,10,2
5387530,4084212,2,3
6190515,8051988,7,4
3983453,4126940,9,9
8326450,5024144,5,9
7650742,3957182,10,3
7334078,7691614,3,12
7849576,6854202,11,10
5295206,8559936,13,13
4884993,6074220,12,6
5318555,4352632,2,10
6397378,5594264,2,12
5170484,8424271,3,5
7343769,4886262,8,2
7343769,4886262,4,10
7337328,5309645,4,7
8176188,7453892,13,9
8169607,6356311,13,9
7898698,8705671,8,8
3993531,4037477,8,7
3969619,4542653,3,4
6859338,6996419,12,4
8075483,4952284,7,9
6836116,5556911,3,2
4145166,5007852,11,4
6310713,5146532,12,3
4930822,8210669,12,6
7014518,7970572,8,4
7315171,8351404,12,3
