pno1,pno2,rank1,rank2
8376730,7654771,5,11
7309332,4163566,10,3
7309332,4163566,8,5
7770420,5291230,7,7
7208210,6877240,7,7
7463222,8187482,6,10
4758897,7660639,8,1
5336966,8450037,1,2
5336966,8450037,4,7
8628829,7671227,8,1
8628829,7671227,3,8
5001321,7772744,2,6
4755161,5362053,11,13
8205597,4410855,6,12
7258295,8247475,9,13
6208234,7189459,6,12
7986915,5149569,5,7
8201586,4718854,12,13
4206530,4838185,4,3
8022240,8445570,7,11
7762271,5211112,4,2
7762271,5211112,10,7
4857904,7948463,11,2
4039785,6633933,12,6
4039785,6633933,6,10
5246950,4054666,4,12
4612963,6291029,12,8
7984202,5235823,5,10
4158174,6172532,12,6
4158174,6172532,1,7
7179668,5406930,11,8
8226558,7804048,6,10
6869599,7954022,7,12
6364861,6565578,7,9
6097906,7834919,9,8
6494357,8090109,13,11
6067130,4397696,4,8
7328993,4827752,9,5
7328993,4827752,10,6
4705938,4941728,2,9
4957432,7234850,4,9
4621088,8604146,4,8
7730410,6996690,10,13
7213903,5489026,4,8
7706098,7191660,11,7
7653778,8358574,12,8
4750231,7431556,6,8
6131657,8435878,1,3
5523707,7668462,6,5
5179353,5241255,7,4
5179353,5241255,9,8
4431175,8138449,2,1
8154655,7045537,10,8
8154655,7045537,8,9
7678057,6309230,12,8
4448939,7170299,4,12
5563070,8592766,10,2
6316827,7324347,8,12
7086261,8023385,9,3
4457736,8688080,3,7
7634606,5036401,2,5
8347783,6523749,7,13
5086431,8685826,6,8
4591012,8280557,3,13
7783244,7197296,5,13
4928390,7715118,4,13
7210502,4022427,6,2
4074186,8271155,8,3
4855897,6067368,5,7
7138655,7466995,9,11
4664801,7476899,1,6
7326903,6188620,13,13
8511185,4684454,2,10
8228536,6873594,7,6
8206149,5361636,4,5
5057947,5060414,10,12
4339841,6201196,4,3
4339841,6201196,6,8
4339841,6201196,13,10
7452742,4717602,3,7
7489575,7978164,2,7
8572267,8694486,2,9
8641746,4345337,12,7
7246429,7847980,2,1
6648961,6668929,1,7
6648961,6668929,4,10
6118735,8056221,5,1
6966637,5228217,9,4
6966637,5228217,8,5
7278335,7104409,7,12
5230122,8681910,8,7
7370892,7941954,8,8
4985880,5033040,3,2
4985880,5033040,10,3
4985880,5033040,2,11
7443289,5034981,4,7
4926363,5241590,9,4
5623087,4692331,7,13
5649735,7553118,10,10
8350584,7009397,2,12
7035698,7187581,7,12
5216631,5400378,4,8
6074546,3983514,7,1
6139933,6666790,5,2
7442752,6734340,13,9
7456723,7472306,10,6
7648869,6257336,5,11
7930604,8385751,6,8
6862287,7991805,12,3
6862287,7991805,3,4
6347111,7493637,10,4
7695526,4399128,11,9
7543575,5046653,3,5
7011434,6445566,12,13
8192354,4193644,13,7
5375261,5500422,5,6
7777620,7245891,10,13
4226659,7316710,6,4
7787566,8059932,13,11
8348500,5324907,13,8
7314360,7458793,7,1
7314360,7458793,8,7
4181722,7107277,11,4
8700890,7507604,12,9
8700890,7507604,7,12
8477247,4001093,7,6
7975799,7237288,6,1
5023582,6666462,11,10
7620254,8106893,8,1
8494625,6424900,5,6
6264918,7744205,7,9
7799153,4748248,6,12
8390467,7173422,1,12
5550935,7051327,3,6
5568446,7206357,3,2
8350520,6074914,3,11
4776993,4081253,13,13
7522616,7710616,9,7
4627213,8729351,9,4
4280459,4884715,3,7
7063521,6435419,13,8
4425658,4791783,10,7
4714019,8192864,5,9
7609865,6560385,4,3
6330533,5250979,9,8
8637384,6423057,8,7
8124981,5182776,6,11
4962561,8733723,11,2
8712768,4466017,1,7
8198182,8012784,13,5
8440193,6349740,10,6
4703470,8422217,2,2
4703470,8422217,8,9
4430747,5432995,10,9
5229693,6122777,3,6
5547051,8205598,10,13
4867312,8642138,13,9
7389160,4848441,12,12
6381089,4040198,3,10
5146496,4525827,7,13
6997316,7743947,8,11
8631257,7949174,7,6
7233894,5566276,1,13
5063409,7295221,10,2
4187983,8307132,12,13
8098625,7957998,6,12
7613491,8636282,13,10
7445475,5022949,8,10
7137948,8629105,4,13
6945906,5184484,6,5
6488069,8270169,5,8
6922574,8051198,10,7
5414740,7317382,4,1
7657118,6907229,5,5
7842567,6557948,8,13
7502793,4605856,4,12
6141762,4082195,11,2
8049818,8085182,3,3
6973483,6892206,2,2
6973483,6892206,1,4
8510780,5180735,9,4
